Question;Answer;AnswerPl;Type;Qualification;IsActive
What is the difference between FormArray and FormGroup?;FormArray is a form of FormGroup. The main difference is that we serialize the FormArray to an array.;FormArray jest formą FormGroup. Główna różnica jest taka, że FormArray serializujemy do tablicy.;Angular;;false
Which is better @Injectable (providedIn: {module_name}) or proper providers in the decorator @NgModule ()?;It is preferable to use @Injectable (providedIn: {module_name}) because better optimization tools can do tree-shaking which removes sites not used by the application, resulting in smaller package sizes. If we use the proper providers in the decorator @NgModule (), our service will be included in the built package even if it is not used.;Lepiej jest używać @Injectable(providedIn: {module_name}), ponieważ narzędzia optymalizacyjne mogą lepiej wykonywać tree-shaking, które usuwa pliki nieużywane przez aplikację, co skutkuje mniejszymi rozmiarami pakietów. Jeśli użyjemy odpowiednich providerów w dekoratorze @NgModule(), nasza usługa zostanie uwzględniona w budowanym pakiecie, nawet jeśli nie jest używana.;Angular;;false
What is HttpClientTestingModule and HttpTestingController?;HttpClientTestingModule and HttpTestingController provides useful methods for checking http requests and providing mock responses for each request.;HttpClientTestingModule i HttpTestingController udostępniają przydatne metody do sprawdania requestów http i dostarczania mocków odpowiedzi dla każdego requestu.;Testing;;true
Describe Just-in-time Compilation and Ahead-of-time Compilatin.;In Just-in-time Compilatin, the entire application is sent to the browser along with the Angular code that is used to compile that application while it is running. We use this in the development environment because it makes it easier to implement functionality and debug the application, but it is a lot of extra stuff, unnecessary to download and execute, that we do not want in our production environment because it slows down the application. Ahead-of-time Compilation compiles the application before uploading it to production servers. This way compilation happens once and only the compiled application is sent to the browser, which saves time.;W Just-in-time Compilatin cała aplikacja jest wysyłana do przeglądarki razem z kodem Angulara, który jest używany do kompilacji tej aplikacji podczas jej działania. Używamy tego na środowisku developerski, ponieważ możemy przez to łatwiej implementować funkcjonalność i debudować aplikację, jednak jest to dużo dodatkowych rzeczy, niepotrzebnych do pobrania i wykonania, których nie chcemy na naszym produkcyjnym środowisku, ponieważ spowalnia aplikację. Ahead-of-time Compilation kompiluje aplikację przed przekazaniem jej na produkcyjne serwery. W ten sposób kompilacja zdarza się raz i tylko skompilowana aplikacja wysyłana jest do przeglądarki, co oszczędza czas.;Angular;;true
What is Code Splitting?;It is breaking code into batches or components (or just breaking code into parts) that can be loaded on demand or in parallel.;Jest to dzielenie kodu w paczki albo komponenty (albo na po prostu dzielenie kodu na części), które mogą być ładowane na rządanie albo równolegle.;Angular;;true
Describe how Subject, BehavioralSubject, ReplaySubject, and AsyncSubject work.;Subject sends data to subscribed observers. Any previously issued value is not sent to the new observer. BehavioralSubject sends the last value to a new observer. ReplaySubject sends all (or the specified amount) of previous values ​​to a new observer. AsyncSubject only sends the last value to the watchers after the upload is complete.;Subject wysyła dane do zasubskrybowanych obserwatorów. Żadna wcześniej wyemitowana wartość nie jest wysyłana do nowego obserwatora. BehavioralSubject wysyła ostatnią wartość do nowego obserwatora. ReplaySubject wysyła wszystkie (lub określoną ilość) wcześniejsze wartości do nowego obserwatora. AsyncSubject wysyła do obserwatorów tylko ostatnią wartość po zakończeniu przesyłu.;Angular;;false
What does the ngsw-config.json file do?;This is a configuration file that specifies the files and data urls that the Service Worker should cache and how to update the cached files and data. From this file, the CLI generates ngsw.json during build.;Jest to plik konfiguracyujny określający pliki i URLe z danymi, które Service Worker powinnien cach'ować i w jaki sposób aktualizować cach'owane pliki i dane. Na podstawie tego pliku CLI generuje ngsw.json podczas builda.;Angular;;false
What is Push API? (PushAPI);API that allows web applications to receive 'pushed' messages from the server, regardless of whether the web application is loaded or not. This allows developers to deliver asynchronous notifications and updates to the user who signed up for them, which results in better user involvement in new content.;API, dzięki któremu aplikacje webowe mają możliwość możliwość otrzymywania wiadomości 'pushowanych' z serwera, niezależnie czy aplikacja webowa jest załadowana lub nie. To pozwala developerom dostarczać asynchroniczne notyfikacje i aktualizacje do użytkownika, który się na nie zapisał, co skutkuje lepszym zaangażowaniem użyutkownika w nowy content.;Angular;;false
What is a fixture in Angular tests?;[write better] Component fixture is a test utility type that is going to help us to do common test operations such as obtaining an instance of the component, debugging component, etc.;[napisać lepiej]Fixture Componentu pomocniczy typ testowy, który pomaga nam w wykonywaniu ogólnym operacji testowych takich jak uzyskanie dostępu do instancu Componentu, debugowaniu componentu, itd.;Testing;;true
What is angular.json?;This is the file with the main configuration settings of applications and libraries in a solution.;To plik z głównymi ustawieniami konfiguracyjnymi aplikacji i bibliotek w solucji.;Angular;;true
What are the limitations of Event Binding?;1. We cannot react to events outside the Component's template, nor on the component itself (its selector - host). 2. We cannot dynamically subscribe or unsubscribe to the event.;1. Nie możemy reagować na eventy poza templatem komponentu, ani na samym komponencie (jego selektorze - host'cie). 2. Nie możemy dynamicznie zasubskrybować albo odsubskrybować eventu.;Angular;;false
What is callback?;A function that is provided to another piece of code, allowing that code to call it.;Funkcja dostarczana do innego fragmentu kodu, pozwalając aby ten kod mógł ją wywołać.;Angular;;true
Describe the dependency resolvency process in Dependency Injection.;Angular resolves a given token (let's say a service) in two steps: 1. Checks the ElementInjectors hierarchy 2. Checks the ModuleInjectors hierarchy. If the service is not found during the first phase, it moves to the second phase. If in the second phase it does not find a dependency, it throws an exception or returns null if the parameter was specified with the @Optional() decorator. Angular resolves the first element it finds during this process.;Angular resolvuje dany token (powiedzmy serwis) w dwóch fazach: 1. Sprawdza hierarchię ElementInjectorów 2. Sprawdza hierarchię ModuleInjectorów. Kiedy podczas pierwszej fazy serwis nie zostanie znaleziony przechodzi do drugiej fazy. Jeżeli w drugiej fazie nie znajdzie zależności to wyrzuca wyjątek lub zwraca null jak parametr był określony dekoratorem @Optional(). Angular resolvuje pierwszy element jaki znajdzie poczas tego procesu.;Angular;;true
What is switchMap and how does it work?;switchMap is an operator of the Higher-order mapping type. It is used to support nested Observables. If a nested Observable is in progress and a new source Observable arrives, it cancels the previous reference and switches to the internal Observable of the current source Observable.;switchMap jest operatorem typu Higher-order mapping. Służy do obsługi zagnieżdżonych Observabli. Jeżeli zanieżdzony Observable jest w trakcie wywoływania, a przyjdzie nowy źródłowy Observable to anuluje wcześniejsze odwołanie i przełączy się na wewnętrzną Observable aktualnego źródłowego Observable.;Angular;;false
What is Transport Protection?;Transport Protection security is a way of secure requests between front-end and back-end, or between back-end APIs. The way to do this is to use HTTPS everywhere. For the front-end, you just have to make sure that all back-end addresses have the "https" prefix.;Transport Protection security jest sposobel bezpiecznych requestów pomiędzy front-endem, a back-endem albo pomiędzy back-endowymi API. Sposobem na to jest używanie HTTPS wszędzie. Dla front-endu trzeba się po prostu upewnić, że wszystkie adresy do back-endu mają prefix "https".;Angular;;true
What are Web Workers? (WebWorkers);Web Workers allow you to run computationally heavy tasks on a background thread, freeing the main thread to update the interface. If the application performs a lot of calculations (such as CAD drawing generation or heavy geometric calculations) using Web Workers can help in application performance.;Web Workery pozwalają na uruchomienie ciężkich obliczeniowo zadań w wątku w tle, uwalniając główny wątek żeby zaktualizować interface. Jeżeli aplikacja wykonuje dużo obliczeń  (jak generowanie CAD drawings albo ciężkie geometryczne kalkulacje) użycie Web Workerów może pomóc w wydajności aplikacji.;Angular;;true
What is Stub?;The definition of Stub replaces the dependency of the test object. It is an object whose behavior we control. When we call a certain method in Stub, we control in our test what value this method returns.;Definicja Stuba zastępuje dependency testowanego obiektu. Jest to obiekt, którego zachowanie kontrolujemy. Jak wywołamy pewną metodę w Stubie kontrolujemy w naszym teście jaką wartość ta metoda zwraca.;Testing;;true
What operations does SwUpdate support?;SwUpdate: 1. Raises an event informing about an available update - when it downloads it and when it is cached. 2. It allows us to call a function that checks for updates. 3. Raises an event informing us when we are in Unrecoverable State.;SwUpdate: 1. Wznosi event informujący o dostępnej aktualizacji - kiedy ją pobiera i kiedy jest zcacheowana. 2. Pozwala nam wywołać funkcję sprawdzającą dostępność aktualizacji. 3. Wznosi event informujący nas kiedy jesteśmy w stanie Unrecoverable State.;Angular;;false
What are RxJS operators? (RxJS functions);The operators in RxJS are the functions that we use in the sequence called on the observable of the pipe () function. We divide the operators into Creation (of, throwError), Transformation (map, mergeMap), Filtering (filter, take), Error Handling (catchError), Utility (tap, delay).;Operatory w RxJS to funkcje, których używamy w sekwencji wywołanej na observablu funkcji pipe(). Operatory dzielimy na Creation(of, throwError), Transformation(map,mergeMap), Filtering (filter, take), Error Handling(catchError), Utility(tap, delay);Angular;;true
What is Largest Contentful Paint? (What is LCP);LCP is a measure of page speed. It tells us how long it takes for the main content of the page to be out;LCP jest miarą prędkości strony. Mówi nam jak długo potrzeba żeby główny content strony się załadował.;JavaScript;;true
In what order are the routes of the imported modules loaded?;First, we load the routes of the imported modules, and only then the paths defined in the given module.;Najpierw ładujemy ścieżki zaimportowanych modułów, a dopiero na końcu zdefiniowaną w danym module.;Angular;;false
How does Routing work in Angular?;1. The router starts up when it sees a change in the URL. 2. The router looks at an array of configured routes, comparing the URL's segment with each one. If Router is able to match the URL, it continues with the matched route. 3. The router checks the Guards to see if we are able to go to the given route. 4. Component initialization. 5. Displaying the Template in the <router-outlet> directive. 5. The router is waiting for the next URL change.;1. Router zaczyna działać kiedy widzi zmianę w URL. 2. Router patrzy na tablicę skonfigurowanych ścieżek, porównując URL segmenty z każdą z nich. Jeżeli Router jest w stanie dopasować URL kontynuuje on swoje działanie z dopasowaną ścieżką. 3. Router sprawdza Guardy żeby sprawdzić czy można jesteśmy w stanie przejść na daną ścieżkę. 4. Inicjalizacja Componentów. 5. Wyświetlenie Template'u w dyrektywie <router-outlet>. 5. Router czeka na następną zmianę URL.;Angular;;true
Describe ElementInjector in Angularze.;Angular creates an ElementInjectory implicitly on every DOM element. We specify it in the 'providers' in @Component() or @Directive() decorators. Provided service is available to component instances or to its children, if they do not have a provided service in their ElementInjectors.;Angular tworzy ElementInjectory skrycie (implicitly) na każdym DOM elemencie. Określamy go w propercji providers w @Component() albo @Directive(). Providowany serwis jest dostępny dla instancji komponentu lub dla jego dzieci, jeżeli nie mają one zprovidowanego serwisu w ich ElementInjectorach.;Angular;;false
How does position: sticky work?;As long as the parent's content of the element with position: sticky is visible on the screen, the element moves relatively to it, not exceeding the distance specified in top, right, bottom, left with respect to the visible document. When the parent's content disappears from the screen, the sticky element disappears with it.;Póki content parenta elementu z position: sticky jest widoczny na ekranie, element porusza się razem z nim nie przekraczając odległości określonej w top, right, bottom, left względem względem widocznego dokumentu. Kiedy content parenta znika z ekranu element sticky znika razem z nim.;CSS;;false
What is the order of processing Guards?;canDeactivate -> canLoad -> canActivateChild -> canActivate -> resolve;canDeactivate -> canLoad -> canActivateChild -> canActivate -> resolve;Angular;;true
What is SASS?;Sass (.scss) is a CSS preprocessor, a CSS extension that adds more mechanisms and syntax capabilities to the core CSS language.;Sass jest preprocessorem CSS, rozszerzeniem CSS, które dodaje więcej mechanizmów i możliwości skłądniowych do podstawowego języka CSS.;CSS;;true
What is Margin Collapsing?;If we have two box models next to each other and they have margins, then these margins overlap and the larger margin wins.;Jeżeli mamy dwa modele pudełkowe obok siebie i mają one marginesy, to te marginesy nachodzą na siebie i wygrywa większy margines.;CSS;;false
Why could we build on microfrontends architecture? (why microfrontends);1. Migrating a massive application from one technology to another. 2. If we want to combine applications written in different technologies.;1. Migrowanie ogromnej aplikacji z jednej technologii na drugą. 2. Jeżeli chcemy połączyć ze sobą aplikacje napisane w różnej technologii.;Angular;;false
What does ng-content do? (What is ng-content);When the ComponentA has <ng-content> in it's template, and we use it's selector (host directive), let's say, in ComponentB, then the content inside that selector will be displayed in <ng-content> element on ComponentA template.;Kiedy ComponentA ma zdefiniowany element <ng-content> w swoim templacie, i użyjemy jego selektora, powiedzmy, w ComponencieB, wtedy zawartość wewnątrz tego selektora będzie wyświetlona w elemencie <ng-content> na templacie ComponentuA.;Angular;;false
What is 'unrecoverable state' in Service Worker?;In some cases, the cached application used by the Service Worker may have a broken state that cannot be recovered without a full page reload. Example steps for this case: 1. The user runs the cached application consisting of index.html, main<main-hash-1>.js, lazy-chunk.<lazy-hash-1>.js. 2. The user closes the application and does not open it for some time. 3. Meanwhile, the application is updated on the server with index.html, main<main-hash-2>.js, lazy-chunk<lazy-hash-2>.js. Hashes are different because they are files with new content, old content is not available. 4. In the meantime, the user's browser decides to remove, for example, lazy-chunk<lazy-hash-1>.js from the cache. Browsers can do this if in order to obtain disk space. 5. The user opens the application again. Service Worker only provides index.html and main <main-hash-1>.js. 6.When it needs to load lazy-chunk<lazy-hash-1>.js Service Worker will not be able to find the required file in the cache (because the browser deleted the file to gain memory), nor is it able to get it from the server, because there is only the latest version of the file on it. In this case, the Service Worker informs us about it by raising UnrecoverableStateEvent.;W niektórzych przypadkach aplikacja w cachu używana przez Service Workera może mieć zepsuty stan, który nie może być odzyskany bez pełnego przeładowania strony. Przykładowe kroki takiego przypadku: 1. Użytkownik uruchamia aplikację, która jest cachowana, składająca się z index.html, main<main-hash-1>.js, lazy-chunk.<lazy-hash-1>.js. 2. Użytkownik zamyka aplikację i nie otwiera jej przez jakiś czas. 3. W międzyczasie aplikacja jest zaktualizowana na serwerze z plikami index.html, main<main-hash-2>.js, lazy-chunk<lazy-hash-2>.js. Hashe są inne ponieważ są to pliki z nową zawartością, stara zawartość nie jest dostępna. 4. W międzyczasi przeglądarka użykownika decyduje się usunąć np. lazy-chunk<lazy-hash-1>.js z cachu. Przeglądarki mogą to robić jeżeli w celu uzyskania miejsca na dysku. 5. Użytkownik otwiera aplikację ponownie. Service Worker dostarcza tylko index.html i main<main-hash-1>.js. 6. Kiedy nadejdzie potrzeba załadowania lazy-chunk<lazy-hash-1>.js Service Worker nie będzie w stanie znaleźć wymaganego pliku w cache (ponieważ przeglądarka usunęła pliku w celu uzyskania pamięcy), ani nie jest w stanie pozyskać go z serwera, poonieważ jest na nim już tylko najnowsza wersja pliku. W takim przypadku Service Worker informuje nas o tym wznosząc UnrecoverableStateEvent.;Angular;;false
What is inheritance?;Mechanism of sharing functionality between classes. A class can inherit from another class, which means that in addition to its attributes and functions, it also has those derived from the base class. Reduces code duplication.;Mechanizm współdzielenia funkcjonalności między klasami. Klasa może dziedziczyć po innej klasie, co oznacza, że oprócz swoich atrybutów i funkcji posiada również te pochodzące z klasy bazowej. Redukuje powielanie kodu.;OOP;;true
What is Composition?;Composition is simply when one object consists of other objects.;Z kompozycją mamy doczynienia, kiedy obiekt składa się z innych typów, po prostu. W kompozycji jeden obiekt posiada inny obiekt, który jest jego składową. Jest to szczególny przypadek agregacji, w którym obiekty składowe nie mogą istnieć bez obiektu głównego. Np. obiekt człowiek posiada obiekty głowa, ręka, etc.;OOP;;true
What is <base href="/"> in index.html?;It tells Angular in which folder our application is stored. If our application were kept in a directory, e.g. tech-events, this element would look like <base href="/tech-events">;Mówi Angularowi w jakim folderze na naszej stronie trzymana jest nasza aplikacja. Jeżeli nasza aplikacja byłaby trzymana w katalogu np. tech-events to element ten wyglądałby <base href="/tech-events">;Angular;;false
When do we create a separate Component?;When the item: 1. Has its own logic to interact with the user. 2. Has a complicated layout or animations. 3. Has methods that may distract from understanding the parent Component's logic.;Kiedy element: 1. Posiada własną logikę do interakcji z użytkownikiem. 2. Ma skomplikowany layout lub animacje. 3. Posiada metody, które mogą odwrócić uwagę od zrozumienia logiki Componentu rodzica.;Angular;;true
What is DOCTYPE in HTML?;All HTML documents must start with a <!DOCTYPE> declaration. The declaration is not an HTML tag. It is an "information" to the browser about what document type to expect. In HTML5, the declaration is simple: <!DOCTYPE html>. Older documents are HTML4 or XHTML.;Wszystkie dokumenty HTML muszą zaczynać się od deklaracji <!DOCTYPE>. Deklaracja nie jest tagiem HTML. Jest to "informacja" dla przeglądarki o tym, jakiego typu dokumentu się spodziewać. W HTML5 deklaracja jest prosta: <!DOCTYPE html>. Starsze dokumenty to HTML4 lub XHTML.;HTML;;true
What are the benefits of HTML? (html benefits);1. Compatibility with all web browsers and devices. 2. Cleaner code for developers. 3. Native support for multimedia content. 4. Quicker load times due to offline storage cache. 5. Introduction of geolocation.;1. Kompatybilność ze wszystkimi przeglądarkami internetowymi i urządzeniami. 2. Czystszy kod dla programistów. 3. Natywna obsługa treści multimedialnych. 4. Szybsze czasy ładowania dzięki pamięci podręcznej w trybie offline. 5. Wprowadzenie geolokalizacji.;HTML;;false
What is flex? (display: flex, display flex);Flex is a special display property value, after which the element becomes a so-called flex-container, and the elements inside with flex-items, which allows us to apply special properties to them.;'flex' to specjalna wartość właściwości propercji 'display', po której element staje się tak zwanym flex-containerem, a elementy wewnątrz flex-itemami, co pozwala nam zastosować do nich specjalne właściwości.;CSS;;true
What is an HTML tag and attribute? (HTML Tag, HTML Attribute);HTML tags used are to place the content and format the pages. They always defined between angle brackets (<, >). For example, <h1>text</h1>. By HTML element we describe section on the web page - opening tag, closing tag, and content between them. HTML attributes are properties we can add to an HTML tab that alters the way a tag behaves or the way it is displayed. For example 'disabled' attribute.;Użyte znaczniki HTML służą do umieszczania treści i formatowania stron. Są one zawsze definiowane między nawiasami ostrymi (<, >). Na przykład <h1>tekst</h1>. Elementem HTML opisujemy sekcję na stronie internetowej - tag otwierający, tag zamykający i zawartość pomiędzy nimi. Atrybuty HTML to właściwości, które możemy dodać do zakładki HTML, które zmieniają sposób zachowania tagu lub sposób jego wyświetlania. Na przykład atrybut disabled.;HTML;;true
What are the states of the form?;1. valid - when the form is validated. 2. invalid - when there are errors on the form. 3. pristine - when the form has not been modified. 4. dirty - when the form was modified. 5. untouched - when the form has not been touched 6. touched - when the form has been touched.;1. valid - kiedy formularz przechodzi validacje. 2. invalid - kiedy są błędy na formularzu. 3. pristine - kiedy formularz nie był modyfikowany. 4. dirty - kiedy formularz był modyfikowany. 5. untouched - kiedy formularz nie bym ruszony 6. touched - kiedy formularz był ruszony.;Angular;;false
Describe class binding in Angular.;We use proper function [ngClass] = "class1 class 2", [ngClass] = ['class1', 'class2'], [ngClass] = "{class1: 1 === 1, class2: 'asd' === 'asd '} ", [ngClass] =" getStartTimeClass () ". If we already have a class defined in the html element, then the classes from the [ngClass] attribute will be added to this class.;Używamy propercji [ngClass]="class1 class 2", [ngClass]=['class1','class2'], [ngClass]="{class1: 1===1,class2: 'asd'==='asd'}",[ngClass]="getStartTimeClass()". Jeżeli mamy już zdefiniowaną klasę w lemencie html to klasy z atrubutu [ngClass] zostaną dodane do tej klasy.;Angular;;false
What are state slices?;The entire state object is divided into parts called slicas.;Cały obiekt stanu podzielony jest na części, które nazywane są slicami.;Angular;;false
What is Store?;Store is a state container in NgRx. It is literally a Json object that holds the state of the application. We can think of it as a local database in client's memory.;Store jest kontenerem stanu w NgRx. Jest dosłownie obiektem Json'owym, który przetrzymuje stan aplikacji. Możemy o nim myśleć jak o lokalnej bazie danych w pamięci clienta.;Angular;;false
Describe @Inject() and @Injectable().;@Inject(token) is a manual mechanism for letting Angular know that a parameter must be injected. We place it before variable we want to inject and Angular is searching for the token in various injectors. @Injectable() lets Angular know that a class can be used with the Dependency Injection.;@Inject(token) to ręczny mechanizm informujący Angulara, że ​​parametr musi zostać wstrzyknięty. Umieszczamy go przed zmienną, którą chcemy wstrzyknąć, a Angular szuka tokena w różnych injectorach w swojej procedurze wyszukiwania zależności. @Injectable() pozwala Angularowi wiedzieć, że klasa może być używana z wstrzykiwaniem zależności.;Angular;;false
How does Lazy Loading work?;First, all imported modules are run, lazy loaded modules are loaded from the back-end only when we want to access them.;Najpierw uruchamiane są wszystkie zaimportowane moduły, pozostałe zaciągane są z back-endu w tle.;Angular;;true
What is NgZone? (Angular zone, zone.js);It is a wrapper for the zone.js library. Intercepts and tracks asynchronous operations such as setTimeout, setInterval, Promise.then, XMLHTTP Request, and DOM events such as click(), keyDown, keyUp, submit, addEventListener. When one of these operations happens, Angular calls changeDetection.;Jest to wrapper dla biblioteki zone.js. Przechwytuje i śledzi operacje asynchroniczne tj. setTimeout, setInterval, Promise.then, XMLHTTP Request, oraz DOM eventy tj. click(), keyDown, keyUp, submit, addEventListener. Kiedy jedna z tych operacji się zdarzy Angular wywołuje changeDetection.;Angular;;true
What is the difference between providers and viewProviders?;The provision of providers makes the provided value available to a given component or its children, while viewProviders causes that only the given component can use it (or the content defined in <ng-content> invoking that component, but that's on the sidelines).;Propercja providers powoduje, że providowana wartość jest dostępna dla danego komponentu albo dla jego dzieci, natomiast viewProviders powoduje, że tylko dany komponent może z niej korzystać (albo zawartość zdefiniowana w <ng-content> wywołania tego komponentu ale to już na marginesie).;Angular;;false
What is Map object?;Map is a collection of data associated with key data, a dictionary structure, just like Object, but in the case of Map the key can be any type. Map also maintains the order of elements, Object does not.;Map to kolekcja danych porzypisanych do danych kluczy, struktura słownikowa, tak samo jak Object, jednak w przypadku Map klucz może być każdym typem. Map również zachowuje kolejność elementów, Object nie.;Angular;;true
What are End to End tests?;End to End tests are tests that are run on a running application with a running database and the server. Thanks to them, we can test whether our application works properly as a whole.;End to End testy są to testy, które są uruchamiane na działającej, uruchomionej aplikacji z działającą bazą danych, serwerem. Dzięki nim możemy przetestować czy nasza aplikacja działa poprawnie jako całość.;Testing;;true
What is Callback Queue?;This is the FIFO queue that contains all callback functions from asynchronous operations in the order in which the operations were completed.;To kolejka FIFO, która zawiera wszystkie callback funkcje z operacji asynchronicznych w kolejności w jakiej operacje te zostały ukończone.;JavaScript;;true
What are the types of forms in Angular? Describe them. (form types);1. Reactive Forms provide direct access to the form object in the Component class. Compared to template-driven forms, they are more robust, scalable and reusable. 2. Template-driven Forms create a form object on a view implicitly. they rely on directives in the template to create and manipulate the hidden form model. They are useful for adding a simple form to an application. They don't scale and with a larger form they are hard to scale and maintain.;1. Reactive Forms zapewniają bezpośredni dostęp do obiektu formularza w klasie Component. W porównaniu z Template-driven Forms są bardziej niezawodne, skalowalne i wielokrotnego użytku. 2. Template-driven Forms tworzą obiekt formularza w widoku niejawnie. Opierają się na dyrektywach w szablonie, aby tworzyć i manipulować ukrytym modelem formularza. Przydają się przy dodawaniu do aplikacji prostego formularza. Nie skalują się, a przy większym formularzu są trudne do utrzymania.;Angular;;true
How does the creation of an Observable differ from the operator "of" from "from"?;A different structure for a table. In of ([table]), if we specify the tables, it will emit the entire table once, we have to give the Spread Operator (...) how we want to emit each element of the table separately. In the case of the from operator ([table]), the observable will emit each table element separately.;Inna struktura w przypadku tabeli. W of([tabela]) jak podamy tabele to wyemituje nam całą tabelę raz, musimy podać Spread Operator (...) jak chcemy emitować każdy element tabeli oddzielnie. W przypadku operatora from([tabela]) observable będzie emitowała każdy element tabeli oddzielnie.;Angular;;false
What are the recommended Modules?;1. App Module. 2. Core Module - holds services and components of the entire application level. 3. Shared Module - shared components, directives, pipes. 4. Feature Modules - services, components, directives, level pipes of a given module.;1. App Module. 2. Core Module - przetrzymuje serwisy i komponenty poziomu całej aplikacji. 3. Shared Module - dzielone komponenty, dyrektywy, pipe'y. 4. Feature Moduły - serwisy, componenty, dyrektywy, pipy poziomu danego modułu.;Angular;;true
What is ngsw-worker.js?;This is the script of Service Wroker itself that is used during it's registration. This file is the same with every build as it is copied by the CLI straight from node-modules. The file will be the same until the new version of Angular Service Worker is updated.;Jest to skrypt samego Service Wrokera, używany podczas rejestracji. Plik ten jest taki sam z każdym buildem, ponieważ jest kopiowany przez CLI prosto z node-modules. Plik będzie taki sam do czasu aktualizacji nowej wersji Angular Service Workera.;Angular;;false
What are the types of ViewEncapsulatin in Angular?;ViewEncapsulation.None - without any encapsulation, styles are imposed on the entire document, ViewEncapsulation.Emulated - Shadow DOM emulation, works the same as Shadow DOM but does not use native Shadow DOM, ViewEncapsulation.Native - native Shadow DOM.;ViewEncapsulation.None - bez żadnej enkapsulacji, style są narzucane na cały dokument, ViewEncapsulation.Emulated - emulacja Shadow DOM'u, działa tak samo ale jak Shadow DOM ale nie używa natywnego Shadow DOM'u, ViewEncapsulation.Native - natywny Shadow DOM.;Angular;;false
What should you remember about performance in CSS animations?;That it's best to only animate two different properties - opacity and transform. Browsers are optimized for this. But with transoform we can do a lot.;Że najlepiej jest animować tylko twie różne propercje - opacity i transform. Przeglądarki są zoptymalizowane pod tym kątem. Ale za pomocą transoform możemy zrobić naprawdę dużo.;CSS;;false
When OnPush triggers change detection?;1. When reference to the property with Input() decorator changes. 2. Property/EventEmitter with decorator Output() or DOM event emits. 3. The async pipe receives the event. 4. Change detection is manually invoked by ChangeDetectorRef.;1. Kiedy zmienia się referencja obiektu pod propercją Input(). 2. Propercja/EventEmitter z dekoratorem Output() lub zdarzenie DOM emituje. 3. Async pipe odbiera zdarzenie. 4. Wykrywanie zmian jest wywoływane ręcznie przez ChangeDetectorRef.;Angular;;true
How fakeAsync works?;Mechanism that wraps our test in the fakeAsync zone which detects the presence of asynchronous operations defined in it such as setTimeouts, setIntervals, requests, etc. and wait for all of those operations to complete before completes the test. fakeAsync zone is going to replace the browser default implementation of the, for example setTimeout function, with it's own custom function that simulates the passage of time. So inside fakeAsync zone, in order to push the clock forward, we are going to use function tick() or flush() to execute all timers that has been queued. We can say thhat fakeAsync helps us with testing of asynchronous code in synchronous way.;Mechanizm, który wrapuje nasz test w fakeAsync zone, które wykrywa obecność asynchronicznych operacji zdefiniowanych wewnątrz, tj. setTimeout, setInterval, zapytania, itd. i czeka aż wszystkie te operacje się skończą zanim zakończy test. fakeAsync zone zastępuje domyślne przeglądarkowe implementacje jak np. funkcji setTimouet, swoją własną funkcją symulującą upływ czasu. Więc wewnątrz fakeAsync zone, żeby przewinąć zegarek do przodu, użyjemy funkcji tick(), a do wykonania wszystkich operacji asynchronicznych flush(), która automatycznie wykonuje wszystkie zakolejkowane operacje. Można powiedzieć, że fakeAsync pomaga nam w testach asynchronicznego kodu w sposób synchroniczny.;Testing;;true
What functions does the Observer take?;The Oberver object takes the function 1. next() - telling what to do with the next data that will trigger. 2. error() - called in the event of an error. 3. complete() - executed when the transmission is complete.;Obiekt Obervera przyjmuje funkcje 1. next() - mówiącą o tym co zrobić z następnymi danymi, które przycodzą. 2. error() - wywołującą się w przypadku błedu. 3. complete() - wykonującą się w przypadku skończenia nadawania.;Angular;;false
How does Service Worker improve performance? (Service Worker performance, performance Service Worker);If we have a registered ServiceWorker, the application is downloaded and cached at the first start. At each subsequent launch, the application is immediately launched from the cache, while a query for the hash file of all application files (ngsw.json) is sent in the background and on this basis the need to update the application version in the cache is checked. The hash file is generated from the ngsw-config.json file, which in turn is generated from the CLI when building the application.;Jeżeli mamy zarejestrowanego ServiceWorkera to przy pierwszym uruchomieniu aplikacja jest pobierana i cacheowana. Przy każdym następnym uruchomieniu aplikacja natychmiastowo uruchamiana jest z cache'a, podczas gdy w tle wysyłane jest zapytanie o plik z hashami wszystkich plików aplikacji (ngsw.json) i na tej podstawie sprawdzana jest potrzeba aktualizacji wersji aplikacji w cachu. Plik z hashami jest generowany na podstawie pliku ngsw-config.json, który z kolei jest generowany z CLI podczas budowania aplikacji.;Angular;;true
What is Push Notifications?;It allows asynchronous notifications and updates to be delivered to the user regardless of whether the web application is loaded or the browser is enabled. It is based on two browser standards - Push API and Notifications API. Push API allows us to push messages from the server to the browser, and the Notifications API to display them as they appear in the browser.;Pozwala na dostarczanie asynchronicznych notyfikacji i aktualizacji do użytkownika niezależnie czy aplikacja webowa jest załadowana lub czy przeglądarka jest włączona. Bazuje na dwóch standardach przeglądarki - Push API i Notifications API. Push API pozwala nam na pushowanie wiadomości z serwera do przeglądarki, a Notifications API na wyświetlaniu ich jak pojawią się w przeglądarce.;Angular;;true
